,de,en-GB,en,es,es-MX,fr-CA,fr,it,ja,ko,nl,ru,zh-Hans,zh-Hant
SkinName_COP010,Gelbe Wattwater,Yellow Gloopsuit,Yellow Gloopsuit,Vadeador amarillo,Overol de trabajo amarillo,Combi caoutchouc jaune,Combi caoutchouc jaune,Tuta da pesca gialla,バイトウェーダー イエロー,옐로 아르바이트 웨이더,Geel ploeterkloffie,Гидрокомплект «Лимон»,打工防水衣 黄色,打工防水衣 黃色
SkinName_COP011,Braune Wattwater,Brown Gloopsuit,Brown Gloopsuit,Vadeador marrón,Overol de trabajo marrón,Combi caoutchouc brune,Combi caoutchouc marron,Tuta da pesca marrone,バイトウェーダー ブラウン,브라운 아르바이트 웨이더,Bruin ploeterkloffie,Гидрокомплект «Какао»,打工防水衣 棕色,打工防水衣 棕色
CoopGrade_Grade_00,Azubi,Apprentice,Apprentice,Aprendiz,Aprendiz,Néophyte,Néophyte,Apprendista,かけだし,초보,Uitzendkracht,Рабочий,新手,新手
CoopGrade_Grade_01,Teilzeitkraft,Part-Timer,Part-Timer,Subordinado,Subordinado,Stagiaire,Stagiaire,Tirocinante,はんにんまえ,견습,Parttimer,Бригадир,半吊子,半吊子
CoopGrade_Grade_02,Fachpersonal,Go-Getter,Go-Getter,Capataz,Supervisor,Semi-pro,Semi-pro,Carrierista,いちにんまえ,일반,Vaste kracht,Старший бригадир,独当一面,獨當一面
CoopGrade_Grade_03,Führungskraft,Overachiever,Overachiever,Gerente,Gerente,Pro,Pro,Promessa,じゅくれん,전문,Leidinggevende,Зам. начальника,熟练,熟練
CoopGrade_Grade_04,Boss,Profreshional,Profreshional,Jefe,Jefe,Prodige,Prodige,Professionista,たつじん,달인,Baas,Начальник,达人,達人
CoopGrade_Grade_05,Boss +1,Profreshional +1,Profreshional +1,Jefe +1,Jefe +1,Prodige +1,Prodige +1,Professionista +1,たつじん＋１,달인 +1,Baas +1,Начальник +1,达人+1,達人+1
CoopGrade_Grade_06,Boss +2,Profreshional +2,Profreshional +2,Jefe +2,Jefe +2,Prodige +2,Prodige +2,Professionista +2,たつじん＋２,달인 +2,Baas +2,Начальник +2,达人+2,達人+2
CoopGrade_Grade_07,Boss +3,Profreshional +3,Profreshional +3,Jefe +3,Jefe +3,Prodige +3,Prodige +3,Professionista +3,たつじん＋３,달인 +3,Baas +3,Начальник +3,达人+3,達人+3
CoopGrade_Grade_08,Legende,Eggsecutive VP,Eggsecutive VP,Director,Director,Légende,Légende,Dirigente,でんせつ,전설,Legende,Гендиректор,传说,傳說
ParamName_Blaze,Feuerrate,Fire Rate,Fire Rate,Cadencia,Cadencia,Cadence,Cadence,Cadenza,連射力,연사력,Vuursnelheid,Темп стрельбы,连射力,連射力
ParamName_Charge,Aufladetempo,Charge Speed,Charge Speed,Recarga,Recarga,Recharge,Vitesse de charge,Ricarica,チャージ速度,충전 속도,Oplaadsnelheid,Скорость зарядки,蓄力速度,蓄力速度
ParamName_Defence,Haltbarkeit,Durability,Durability,Durabilidad,Durabilidad,Résistance,Résistance,Resistenza,耐久力,내구력,Duurzaamheid,Прочность,耐久度,耐久度
ParamName_Explosion,Explosion,Impact,Impact,Impacto,Impacto,Explosion,Explosion,Impatto,爆発力,폭발력,Impact,Радиус взрыва,爆发力,爆發力
ParamName_Mobility,Beweglichkeit,Mobility,Mobility,Movilidad,Movilidad,Maniabilité,Mobilité,Praticità,機動性,기동성,Wendbaarheid,Мобильность,机动性,機動性
ParamName_PaintSpeed,Färbetempo,Ink Speed,Ink Speed,Vel. pintado,Vel. tinta,Vitesse d'encrage,Vitesse d'encrage,Vel. pittura,塗り進み速度,색칠 전진 속도,Inktsnelheid,Темп покраса,涂墨前进速度,塗墨前進速度
ParamName_Power,Feuerkraft,Damage,Damage,Potencia,Daño,Dégâts,Dégâts,Potenza,攻撃力,공격력,Schade,Урон,攻击力,攻擊力
ParamName_Range,Reichweite,Range,Range,Alcance,Alcance,Portée,Portée,Gittata,射程,사정거리,Bereik,Дальнобойность,射程,射程
ParamName_Weight,Leichtheit,Handling,Handling,Ligereza,Ligereza,Légèreté,Légèreté,Leggerezza,軽さ,가벼움,Draagbaarheid,Маневренность,轻巧度,輕巧度
WeaponTypeName_Blaster,Blaster,Blasters,Blasters,Devastadores,Lanzamotas,Blasteurs,Blasters,Blaster,ブラスター,블래스터,Blasters,Бластеры,爆破枪,爆破槍
WeaponTypeName_Brush,Pinsel,Brushes,Brushes,Pinceles,Pinceles,Pinceaux,Pinceaux,Pennelli,フデ,붓,Kwasten,Кисти,画笔,畫筆
WeaponTypeName_Charger,Konzentratoren,Chargers,Chargers,Cargatintas,Cargatintas,Fusils,Fusils,Armi a carica,チャージャー,차저,Laders,Нагнетатели,蓄力狙击枪,蓄力狙擊槍
WeaponTypeName_Maneuver,Doppler,Dualies,Dualies,Armas duales,Armas duales,Armes doubles,Armes doubles,Repolper,マニューバー,머누버,Dubbelknallers,Спуртометы,机动枪,機動槍
WeaponTypeName_Roller,Roller,Rollers,Rollers,Rodillos,Rodillos,Rouleaux,Rouleaux,Rulli,ローラー,롤러,Rollers,Валики,滚筒,滾筒
WeaponTypeName_Saber,Splatanas,Splatanas,Splatanas,Azotintadores,Azotintadores,Éclatanas,Éclatanas,Lame,ワイパー,와이퍼,Zwiepers,Сплат-катаны,刮水刀,刮水刀
WeaponTypeName_Shelter,Pluviatoren,Brellas,Brellas,Paratintas,Paratintas,Para-encres,Para-encres,Sparasole,シェルター,셸터,Plenzers,Сплат-зонты,防空伞,防空傘
WeaponTypeName_Shooter,Kleckser,Shooters,Shooters,Lanzatintas,Rociadores,Lanceurs,Lanceurs,Armi a ripetizione,シューター,슈터,Spetters,Краскоматы,射击枪,射擊槍
WeaponTypeName_Slosher,Schwapper,Sloshers,Sloshers,Derramatic,Derramatic,Seaux,Seaux,Secchiostri,スロッシャー,슬로셔,Morsers,Ведроганы,泼桶,潑桶
WeaponTypeName_Spinner,Splatlings,Splatlings,Splatlings,Tintralladoras,Garabateadores,Badigeonneurs,Badigeonneurs,Splatling,スピナー,스피너,Spetlingen,Брызгометы,旋转枪,旋轉槍
WeaponTypeName_Stringer,Stringer,Stringers,Stringers,Arcromatizadores,Arcromatizadores,Transperceurs,Transperceurs,Calamarchi,ストリンガー,스트링거,Spanners,Тетиваторы,猎鱼弓,獵魚弓
CoopEvent_Griller,Killgrills,The Griller,The Griller,Chaparrillas,Brasaletas,Barbeurks,Barbeurks,Grill,グリル発進,그릴 발진,Grillers,Жаровнер,烤架鱼进发,烤架魚出動
CoopEvent_Fog,Nebel,Fog,Fog,Niebla,Niebla,Brouillard,Brouillard,Nebbia,霧,안개,Mist,Туман,雾,霧
CoopEvent_Goldie_Seeking,Goldie-Suche,Goldie Seeking,Goldie Seeking,Detección de salmóreos,Detección de orónidos,Chasse aux dorax,Chasse aux Dorax,Scovare i Pinne d'oro,キンシャケ探し,황금연어 찾기,Het zoeken van Goldies,Поиски Великого Сам О’Нида,寻找金鲑鱼,尋找金鮭魚
CoopEvent_The_Mothership,Das Mutterschiff,The Mothership,The Mothership,Aerocriaderos,Salmonodrizas,Vaisseau mère,Vaisseaux mères,Astronave madre,ハコビヤ襲来,운반함 급습,Het moederschip,Нерестилище,走私鱼来袭,走私魚來襲
CoopEvent_Cohock_Charge,Brocken-Sturmangriff,Cohock Charge,Cohock Charge,Ataques de escamacarras,Ataques de agallones,Charges de sumoches,Charges de Sumoches,Orde di Pinne Pingui,ドスコイ大量発生,덩치연어 대량 발생,Storm van Sallogs,Штурм сковорейдеров,大胖鱼大量出现,大胖魚大量出現
CoopEvent_Giant,Riesentornado,Giant Tornado,Giant Tornado,Tornados gigantes,Tornados gigantes,Tornade géante,Tornade géante,Tornado gigante,巨大タツマキ,거대 회오리,Enorme tornado,Огромный торнадо,巨型龙卷风,巨型龍捲風
CoopEvent_Rush,Ansturm,Rush,Rush,Avalanchas,Frenesíes,Ruées,Ruées,Orde,ラッシュ,러시,Stormloop,Озверевшие самониды,狂潮,狂潮
CoopEvent_Mudmouth,Schlämmermaul-Eruptionen,Mudmouth Eruptions,Mudmouth Eruptions,Erupciones de morrolodos,Erupciones de bocalodos,Émergence de salmonoïdes de boue,Émergence de Salmonoïdes de boue,Eruzioni di Fangonoidi,ドロシャケ噴出,진흙연어 분출,Moddermuil-uitbarstingen,Извержения илистых ревунов,泥鲑鱼喷发,泥鮭魚噴發
CoopEvent_Water_Levels,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CoopHistory_SakeArtillery,Kanonya,Big Shot,Big Shot,Artilleroide,Artilleroide,Gros boulet,Gros boulet,Cannoniere,テッキュウ,철 구슬,Bombarie,ядровик,铁球鱼,鐵球魚
CoopHistory_SakeArtilleryCannon,Kanonya-Geschütz,Big Shot launcher,Big Shot launcher,lanzador,lanzador,canon du gros boulet,canon du Gros boulet,cannone,発射台,발사대,Bombariekanon,ядромет,发射台,發射台
CoopHistory_SakeBigBoss,Ober-Salmonide,King Salmonid,King Salmonid,gran jefe salmónido,gran jefe salmónido,Salmonarque,Salmonarque,Salmonarca,オカシラシャケ,두목연어,Salmonster,Самонид-король,头目鲑鱼,頭目鮭魚
CoopHistory_SakeBigBossGauge,Salmometer,Salmometer,Salmometer,salmómetro,salmómetro,Salmomètre,Salmomètre,salmometro,オカシラゲージ,두목 게이지,Salmometer,Король-шкала,头目槽,頭目槽
CoopHistory_SakeDolphin,Sturmreifer,Flipper-Flopper,Flipper-Flopper,Chapotero,Chapotero,Ploufion,Ploufion,Tuffone,ダイバー,다이버,Dompelaar,хулахлюп,潜水鱼,潛水魚
CoopHistory_SakeFlyBagman,Samko,Snatcher,Snatcher,Rastrerón,Hurtón,Barboteur,Barboteur,Razziatore,タマヒロイ,알주어,Zammel,умыкумжа,拾蛋鱼,拾蛋魚
CoopHistory_SakePillar,Mobelisk,Fish Stick,Fish Stick,Viga,Viga,Pylônoïde,Pylônoïde,Trivellaccio,ハシラ,기둥,Salmonoliet,бурмонид,柱鱼,柱魚
CoopHistory_SakeRope,Horroboros,Horrorboros,Horrorboros,Dragón,Dragón,Salmophide,Salmophide,Orroboros,タツ,용,Horroboros,скверноборос,辰龙,辰龍
CoopHistory_SakeSaucer,Deckler,Slammin' Lid,Slammin' Lid,Tapaollas,Tapaollas,Couverclard,Couverclard,Coperchiotto,ナベブタ,냄비 뚜껑,Dreksel,мокрышка,锅盖鱼,鍋蓋魚
CoopHistory_SakeTamaire,Schlämmermaul,Mudmouth,Mudmouth,Morrolodo,Bocalodo,Salmonoïde de boue,Salmonoïde de boue,Fangonoide,ドロシャケ,진흙연어,Moddermuil,илистый ревун,泥鲑鱼,泥鮭魚
CoopHistory_Sakediver,Grablax,Maws,Maws,Fáucex,Mandíburo,Gobb,Gobb,Boccalone,モグラ,두더지,Snaai,Жуй-Горбуш,鼹鼠鱼,鼴鼠魚
CoopHistory_Sakedozer,Killgrill,Griller,Griller,Chaparrilla,Brasaleta,Barbeurk,Barbeurk,Grill,グリル,그릴,Griller,жаровнер,烤架鱼,烤架魚
CoopHistory_SakelienBomber,Bäm,Steelhead,Steelhead,Ferroz,Ferroz,Tête-de-pneu,Tête-de-pneu,Bomber,バクダン,폭탄,Staalkop,Дядя Семг,炸弹鱼,炸彈魚
CoopHistory_SakelienCupTwins,Rakzak,Flyfish,Flyfish,Drónido,Drónido,Dronoïde,Aéro Ben,Salmodrone,カタパッド,어깨 패드,Salmodrone,неркетчик,垫肩飞鱼,墊肩飛魚
CoopHistory_SakelienGiant,Malmsalm,Cohozuna,Cohozuna,Salmonote,Salmonote,Salmotori,Salmotori,Colossalmonoide,ヨコヅナ,천하장사,Sumosalmo,Исполид,横纲,橫綱
CoopHistory_SakelienGolden,Goldie,Goldie,Goldie,Salmóreo,Orónido,Dorax,Dorax,Pinne d'oro,キンシャケ,황금연어,Goldie,Великий Сам О’Нид,金鲑鱼,金鮭魚
CoopHistory_SakelienLarge,Brocken,Cohock,Cohock,Escamacarra,Agallón,Sumoche,Sumoche,Pinna Pingue,ドスコイ,덩치연어,Sallog,сковорейдер,大胖鱼,大胖魚
CoopHistory_SakelienShield,Pfanndit,Scrapper,Scrapper,Chatarrónido,Parrillero,Bricabrute,Bricabrute,Blindomito,テッパン,철판,Jutter,кетанкист,铁板鱼,鐵板魚
CoopHistory_SakelienSmall,Salmini,Smallfry,Smallfry,Cenutrín,Escamita,Salmioche,Salmioche,Salmonello,コジャケ,꼬마연어,Salmini,малетчик,小鲑鱼,小鮭魚
CoopHistory_SakelienSnake,Staal,Steel Eel,Steel Eel,Raspoide,Anguiladera,Carnacier,Carnacier,Anguilmone,ヘビ,뱀,Staal,громыхариус,蛇鱼,蛇魚
CoopHistory_SakelienStandard,Salmo,Chum,Chum,Salmoche,Salmoide,Salmoche,Salmoche,Spadello,シャケ,연어,Salmo,скороварвар,鲑鱼,鮭魚
CoopHistory_SakelienTower,Stapla,Stinger,Stinger,Pilónido,Fregatorre,Marmirador,Marmirador,Pentolaio,タワー,타워,Staaplo,Котельный Сиг,高塔鱼,高塔魚
CoopHistory_Sakepuncher,Mutterschiff,Mothership,Mothership,Aerocriadero,Salmonodriza,Vaisseau mère,Vaisseau mère,astronave madre,ハコビヤ,운반함,moederschip,Нерестилище,走私鱼,走私魚
CoopHistory_SakepuncherBulletSimpl,Kopta,Chinook,Chinook,Salmocóptero,Salmocóptero,Salmocoptère,Salmocoptère,Salmocottero,シャケコプター,연어콥터,Salmokopter,геликомуль,直升机鲑鱼,直升機鮭魚
CoopHistory_Sakerocket,Regnar,Drizzler,Drizzler,Barreno,Paragüista,Crachin,Crachin,Piovasco,コウモリ,박쥐,Miezer,метеоголец,蝙蝠鱼,蝙蝠魚
CoopStage_Carousel,Flunder-Funpark,Wahoo World,Wahoo World,Pirañalandia,Pirañalandia,Parc Carapince,Parc Carapince,Soglioland,スメーシーワールド,초밥 월드,Waterwonderland,Луна-парк «Язь»,醋饭海洋世界,醋飯海洋世界
CoopStage_Shakedent,Wasserkraftwerk Stromschnell,Gone Fission Hydroplant,Gone Fission Hydroplant,Hidrocentral Pilpil,Hidrocentral Rebosante,Centrale Anguilla,Centrale Anguilla,Centrale Anguilla Elettrica,ムニ・エール海洋発電所,뫼니 엘 해양 발전소,Kwikwi-krachtcentrale,ГЭС-комплекс «Лом»,麦年海洋发电所,麥年海洋發電所
CoopStage_Shakeship,Schiffswrack-Insel,Marooner's Bay,Marooner's Bay,Bahía Deriva,Bahía Deriva,Épave des braves,Épave des braves,Isoletta del relitto,難破船ドン・ブラコ,난파선 돈 브라코,Wrak van de ms Grondel,Корабль «Дон Брак»,漂浮落难船,漂浮落難船
CoopStage_Shakespiral,Fort Nautilax,Sockeye Station,Sockeye Station,Fuerte Espiral,Fuerte Espiral,Bastion colimaçon,Bastion colimaçon,Fortezza Spiralsalmone,アラマキ砦,연어말이 요새,Fort Ammoniet,Наутиплекс,新卷堡,新卷堡
CoopStage_Shakeup,Salmoniden-Damm,Spawning Grounds,Spawning Grounds,Presa salmónida,Presa salmónida,Barrage salmonoïde,Barrage salmonoïde,Diga salmonoide,シェケナダム,셰케나 댐,Salmonietendam,Самонидская ГЭС,鲑坝,鮭壩
CoopStage_Tutorial,Fort Nautilax,Sockeye Station,Sockeye Station,Fuerte Espiral,Fuerte Espiral,Bastion colimaçon,Bastion colimaçon,Fortezza Spiralsalmone,アラマキ砦,연어말이 요새,Fort Ammoniet,Наутиплекс,新卷堡,新卷堡
CoopStage_Unknown,???,???,???,(?),(?),???,???,???,？？？,???,???,???,？？？,？？？
CoopStage_Upland,Perlmutt-Akademie,Inkblot Art Academy,Inkblot Art Academy,Instituto Coralino,Instituto Coralino,Institut Calm'arts,Institut Calam'arts,Campus Hippocampus,海女美術大学,해녀 미술 대학,Koraalcampus,Академия «Лепота»,海女美术大学,海女美術大學
Carousel_BigrunOpening,Beschütze während des Big Run die Stadt!,Protect the City from the Big Run!,Protect the City from the Big Run!,¡Big Run! ¡A defender la ciudad!,¡Big Run! ¡A defender la ciudad!,Protège la ville pendant le Big Run!,Protège la ville pendant le Big Run !,Proteggi la città dalla Big Run!,ビッグランから街を守れ！,빅 런으로부터 타운을 지켜라!,Bescherm de stad tijdens de Big Run!,Защити город от набега самонидов Big Run!,保护城镇免受大型跑侵害！,在大型跑中保護城鎮吧！
Carousel_BigrunResult,Big-Run-Ergebnis!,Big Run Results!,Big Run Results!,¡Hay resultados de Big Run!,¡Resultados de Big Run!,Résultats du Big Run publiés!,Résultats du Big Run publiés !,Risultati Big Run!,ビッグラン結果発表！,빅 런 결과 발표!,Big Run-uitslag!,Итоги Big Run,大型跑结果公布！,大型跑結果公布！
Carousel_CoopHistory,Salmon Run,Salmon Run,Salmon Run,Salmon Run,Salmon Run,Salmon Run,Salmon Run,Salmon Run,サーモンラン,새먼 런,Salmon Run,Salmon Run,鲑鱼跑,SALMON RUN
Carousel_ExpansionPass,Zu Informationen über den Erweiterungspass,To Expansion Pass Information,Visit Expansion Pass Purchase Site,Ir a la información del pase de expansión,Visita el sitio del pase de expansión,Visiter le site d'achat de la Passe d'extension,Informations sur le Pass d'extension,Informazioni sul Pass di espansione,「ハイカラシティ」配信中！,「오더폴리스 시티」 배포 중!,Informatie over de uitbreidingspas,К информации о талоне на расширение,“尚兴市”发布中！,「尚興市」發布中！
Carousel_ExpansionPass2,Zu Informationen über den Erweiterungspass,To Expansion Pass Information,Visit Expansion Pass Purchase Site,Ir a la información del pase de expansión,Visita el sitio del pase de expansión,Visiter le site d'achat de la Passe d'extension,Informations sur le Pass d'extension,Informazioni sul Pass di espansione,「サイド・オーダー」配信中！,「사이드 오더」 배포 중!,Informatie over de uitbreidingspas,К информации о талоне на расширение,“秩序篇”发布中！,「秩序篇」發布中！
Carousel_FestOpening,Splatfest läuft!,Splatfest Open!,Splatfest Open!,¡Festival en marcha!,¡Festival en marcha!,Festival en cours!,Festival en cours !,Festival in corso!,フェス開催！！,페스티벌 개최!!,Splatfest geopend!,Идет Сплатфест!,祭典开始！！,祭典開幕！！
Carousel_FestResult,Splatfest-Ergebnis!,Splatfest Results!,Splatfest Results!,Resultados del festival,Resultados del festival,Résultats du festival!,Résultats du festival !,Risultati festival!,フェス結果発表！！,페스티벌 결과 발표!!,Splatfest-uitslag!,Итоги Сплатфеста,祭典结果公布！！,祭典結果公布！！
Carousel_Gesotown,Exklusive SplatNet-Ausrüstung,Exclusive SplatNet Gear,Exclusive SplatNet Gear,Tenemos artículos exclusivos de SplatNet.,Tenemos artículos exclusivos de SplatNet.,Équipement exclusif Boutique SplatNet,Équipement exclusif Céphalochic,Articoli esclusivi di Calama-zone,ここだけの特別なギア販売中,이곳에서만 구할 수 있는 특별한 기어 판매 중,Exclusieve SplatNet-uitrusting,Эксклюзивное снаряжение из SplatNet,正在售卖独家特殊装备,獨家特殊裝備現正販售中
Carousel_HeroRecord,Die heldenhafte Saga...,The Story Continues...,The Story Continues...,La historia continúa...,La historia continúa...,L'histoire continue...,L'histoire continue...,La storia continua...,新たなヒーローの物語,새로운 히어로의 이야기,Het verhaal gaat verder...,История продолжается...,全新的英雄故事,嶄新的英雄故事
Carousel_MemoryPlayer,Kampferinnerungen,View Replays,View Replays,Repeticiones,Repeticiones,Vidéos,Vidéos,Replay,メモリープレーヤー,메모리 플레이어,Herhalingen,Повторы,记忆播放器,記憶播放器
Carousel_Myoutfits,Lieblings-Styles,Freshest Fits,Freshest Fits,Atuendos favoritos,Tus atuendos,Tenues favorites,Tenues favorites,Look preferiti,マイコーデ,마이 코디,Lievelingsstijlen,Свежие прикиды,个人穿搭,個人穿搭
Carousel_OfficialTournament,Splatoon甲子園開催中！,Splatoon甲子園開催中！,Splatoon甲子園開催中！,Splatoon甲子園開催中！,Splatoon甲子園開催中！,Splatoon甲子園開催中！,Splatoon甲子園開催中！,Splatoon甲子園開催中！,Splatoon甲子園開催中！,Splatoon甲子園開催中！,Splatoon甲子園開催中！,Splatoon甲子園開催中！,Splatoon甲子園開催中！,Splatoon甲子園開催中！
